Strategy,P (all),R (all),F1 (all),P (no SJ),R (no SJ),F1 (no SJ),Detected,FP
Intersection (AE AND Raw),1.0,0.6666666666666666,0.8,1.0,0.8333333333333334,0.9090909090909091,100,0
Union (AE OR Raw),0.8111888111888111,0.7733333333333333,0.7918088737201364,0.8043478260869565,0.925,0.8604651162790697,143,27
Relaxed (Raw OR AE+highKS),0.9333333333333333,0.7466666666666667,0.8296296296296296,0.9327731092436975,0.925,0.9288702928870293,120,8
Raw Only (alpha=0.10),1.0,0.7133333333333334,0.8326848249027238,1.0,0.8916666666666667,0.9427312775330398,107,0
AE Only,0.8014705882352942,0.7266666666666667,0.7622377622377622,0.7938931297709924,0.8666666666666667,0.8286852589641435,136,27
