Architecture,P (all),R (all),F1 (all),P (no SJ),R (no SJ),F1 (no SJ),FP,Time(s)
"Shallow [128, 64]",1.0,0.6666666666666666,0.8,1.0,0.8333333333333334,0.9090909090909091,0,2.61
"Default [256, 128, 64]",1.0,0.6666666666666666,0.8,1.0,0.8333333333333334,0.9090909090909091,0,3.64
"Deep [512, 256, 128, 64]",1.0,0.6466666666666666,0.7854251012145749,1.0,0.8083333333333333,0.8940092165898618,0,5.62
"Wide [512, 256, 128]",1.0,0.6466666666666666,0.7854251012145749,1.0,0.8083333333333333,0.8940092165898618,0,4.99
"Narrow [128, 32]",1.0,0.6533333333333333,0.7903225806451613,1.0,0.8166666666666667,0.8990825688073394,0,2.49
